player_id,player_name,team,position,height_raw,weight_raw,height_inches,weight_lbs
1642461,Spencer Jones,Nuggets,Forward,6-7,225,79,225.0
1630200,Tre Jones,Bulls,Guard,6-1,185,73,185.0
1626145,Tyus Jones,Magic,Guard,6-1,196,73,196.0
1627884,Derrick Jones Jr.,Clippers,Forward,6-6,210,78,210.0
201599,DeAndre Jordan,Nuggets,Center,6-11,265,83,265.0
202709,Cory Joseph,Magic,Guard,6-2,200,74,200.0
1631107,Nikola Jović,Heat,Forward,6-10,205,82,205.0
1630548,Johnny Juzang,Timberwolves,Guard,6-7,226,79,226.0
1642530,Yuki Kawamura,Bulls,Guard,5-8,159,68,159.0
1630283,Kylor Kelley,,Center,7-0,215,84,215.0
1628379,Luke Kennard,Hawks,Guard,6-5,206,77,206.0
1631117,Walker Kessler,Jazz,Center,7-2,245,86,245.0
1630296,Braxton Key,Grizzlies,Forward,6-8,225,80,225.0
1630557,Corey Kispert,Wizards,Forward,6-6,224,78,224.0
1628467,Maxi Kleber,Lakers,Forward,6-10,240,82,240.0
1641752,Bobi Klintman,Pistons,Forward,6-9,225,81,225.0
1642261,Dalton Knecht,Lakers,Forward,6-6,215,78,215.0
1628995,Kevin Knox II,Warriors,Forward,6-8,215,80,215.0
1642278,Tyler Kolek,Knicks,Guard,6-2,195,74,195.0
1631132,Christian Koloko,Lakers,Center,7-0,225,84,225.0
1629723,John Konchar,Grizzlies,Guard,6-5,210,77,210.0
1628436,Luke Kornet,Spurs,Center-Forward,7-1,250,85,250.0
1630249,Vít Krejčí,Hawks,Guard,6-8,195,80,195.0
1630228,Jonathan Kuminga,Warriors,Forward,6-7,225,79,225.0
1628398,Kyle Kuzma,Bucks,Forward,6-9,221,81,221.0
1631222,Jake LaRavia,Lakers,Forward,6-7,235,79,235.0
203897,Zach LaVine,Kings,Guard,6-5,200,77,200.0
1627746,Skal Labissiere,,Forward-Center,6-10,235,82,235.0
1629111,Jock Landale,Grizzlies,Center,6-11,255,83,255.0
1641796,Pelle Larsson,Heat,Guard,6-5,215,77,215.0
1630639,A.J. Lawson,Raptors,Guard,6-6,179,78,179.0
1627747,Caris LeVert,Pistons,Guard,6-7,205,79,205.0
1627814,Damion Lee,Suns,Guard-Forward,6-6,210,78,210.0
203458,Alex Len,Knicks,Center,7-0,250,84,250.0
202695,Kawhi Leonard,Clippers,Forward,6-6,225,78,225.0
1642502,Malevy Leons,Thunder,Forward,6-9,210,81,210.0
1641721,Maxwell Lewis,Nets,Forward,6-7,215,79,215.0
1630604,E.J. Liddell,Nets,Forward,6-6,240,78,240.0
203081,Damian Lillard,Trail Blazers,Guard,6-2,200,74,200.0
1641726,Dereck Lively II,Mavericks,Center,7-1,230,85,230.0
1641753,Chris Livingston,Bucks,Forward,6-6,220,78,220.0
1626172,Kevon Looney,Pelicans,Forward,6-9,222,81,222.0
201572,Brook Lopez,Clippers,Center,7-1,282,85,282.0
201567,Kevin Love,Jazz,Forward-Center,6-10,251,82,251.0
200768,Kyle Lowry,76ers,Guard,6-0,196,72,196.0
1641754,Seth Lundy,Clippers,Guard-Forward,6-4,220,76,220.0
1626168,Trey Lyles,Kings,Forward,6-9,234,81,234.0
1630572,Sandro Mamukelashvili,Raptors,Forward-Center,6-9,240,81,240.0
1629611,Terance Mann,Nets,Guard-Forward,6-6,215,78,215.0
1630544,Tre Mann,Hornets,Guard,6-3,178,75,178.0
1628374,Lauri Markkanen,Jazz,Forward-Center,7-1,240,85,240.0
1630230,Naji Marshall,Mavericks,Forward,6-6,220,78,220.0
1628997,Caleb Martin,Mavericks,Forward,6-5,205,77,205.0
1628998,Cody Martin,Suns,Forward,6-6,205,78,205.0
1641798,Jaylen Martin,Wizards,Guard,6-6,216,78,216.0
1630231,KJ Martin,Jazz,Forward,6-6,215,78,215.0
